,url
0,https://www.gofundme.com/f/clemson-wine-bar-team-fund
1,https://www.gofundme.com/f/funds-needed-for-the-brews-on-main
2,https://www.gofundme.com/f/itsurwiener-restaurant-and-bar-covid-19-relief-fund-smb
3,https://www.gofundme.com/f/free-surgical-mask
4,https://www.gofundme.com/f/california039s-mexican-grill-covid-19-relief
5,https://www.gofundme.com/f/n8kum-employee-payroll
6,https://www.gofundme.com/f/1xuzvopb6o
7,https://www.gofundme.com/f/dean-shore-covid19-relief
8,https://www.gofundme.com/f/help-save-our-small-businesscovid19-relief
9,https://www.gofundme.com/f/silvermoon-virtual-tips
10,https://www.gofundme.com/f/1yqrlsezuo
11,https://www.gofundme.com/f/carlisle039s-staff-virtual-tip-pool
12,https://www.gofundme.com/f/prospective-press-needs-you
13,https://www.gofundme.com/f/moji-coffee-and-more-covid-19-relief-fund-smb
14,https://www.gofundme.com/f/small-business-fundraiser-for-triad-trusted-clean
15,https://www.gofundme.com/f/help-my-small-biz-get-through-covid19
16,https://www.gofundme.com/f/triad-electronics-services-inc
17,https://www.gofundme.com/f/wise-man-brewing-covid-19-relief-fund-smb
18,https://www.gofundme.com/f/support-winstonsalem-food-amp-bev
19,https://www.gofundme.com/f/artist-needs-help-during-shutdown
20,https://www.gofundme.com/f/m1nd-6ym
21,https://www.gofundme.com/f/e2y4yu-small-business-survival
22,https://www.gofundme.com/f/survive-covid19-divas-hair-salon
23,https://www.gofundme.com/f/help-small-company-stay-aflot-during-covid19
24,https://www.gofundme.com/f/37sm9-corona-virus
25,https://www.gofundme.com/f/bvi-sun-company-covid-19-relief-fund-smb
26,https://www.gofundme.com/f/i-am-a-entrepreneur-building-a-empire-for-the-lgbt
27,https://www.gofundme.com/f/miles-custom-painting
28,https://www.gofundme.com/f/help-a-small-business-keep-their-employees
29,https://www.gofundme.com/f/f8r85-support-small-business
30,https://www.gofundme.com/f/help-putters-staff-during-these-hard-times
31,https://www.gofundme.com/f/food-dance-staff-relief
32,https://www.gofundme.com/f/that-little-shop-around-the-corner
33,https://www.gofundme.com/f/the-sangria-shop-covid19-relief
34,https://www.gofundme.com/f/inspiring-hands-massage-spa-covid-19-relief-fund-smb
35,https://www.gofundme.com/f/hggxz-help-me-stay-in-business
36,https://www.gofundme.com/f/support-your-kalamazoo-transportation-service
37,https://www.gofundme.com/f/the-sangria-shop-covid-19-relief-fund-smb
38,https://www.gofundme.com/f/mamaleelu-cold-brew-covid-19-relief-fund-smb
39,https://www.gofundme.com/f/creekside-wellness-center-covid-19-relief-fund-smb
40,https://www.gofundme.com/f/vjdwk4-small-business-relief-covid19
